bits,numberCount,run_id,part1_time,part1_pct,part2_time,part2_pct,part3_time,part3_pct,avg_time
1,50000000,1,0.24690752,24.3171646,1.17e-06,0.00011562,0.7684463,75.6819206,
1,50000000,2,0.24758849,24.35227472,1.93e-06,0.00018989,0.7690977,75.64680495,
1,50000000,3,0.24731551,24.39896976,1.22e-06,0.00012068,0.76630666,75.6001634,
1,50000000,4,0.24794451,24.37927914,2.03e-06,0.00019977,0.76907622,75.61983883,
1,50000000,5,0.24626001,24.26367929,1.12e-06,0.00011062,0.76866484,75.73554991,
1,50000000,avg,0.24720321,24.34227559,1.5e-06,0.00014736,0.76831835,75.65685342,
1,50000000,avg,,,,,,,1.01553
1,70000000,1,0.34507009,24.27260569,1.3e-06,9.142e-05,1.0765664,75.72685179,
1,70000000,2,0.3463789,24.33338859,1.87e-06,0.00013105,1.07708492,75.66605797,
1,70000000,3,0.34493266,24.24978837,1.42e-06,9.952e-05,1.07747576,75.74973962,
1,70000000,4,0.34660837,24.34225733,1.63e-06,0.00011466,1.0772793,75.65717452,
1,70000000,5,0.34534614,24.29946813,1.31e-06,9.23e-05,1.07585478,75.69998898,
1,70000000,avg,0.34566723,24.29951848,1.51e-06,0.0001058,1.07685223,75.69994571,
1,70000000,avg,,,,,,,1.422527
1,90000000,1,0.44717394,24.39317929,1.39e-06,7.598e-05,1.38600958,75.60632927,
1,90000000,2,0.44896442,24.47894098,2.03e-06,0.0001109,1.38511087,75.52056634,
1,90000000,3,0.44643797,24.4000769,1.41e-06,7.719e-05,1.38321173,75.59946763,
1,90000000,4,0.44857732,24.47815898,2.06e-06,0.00011224,1.38397579,75.52138338,
1,90000000,5,0.44831553,24.48554376,1.75e-06,9.583e-05,1.38261497,75.51395709,
1,90000000,avg,0.44789383,24.44718968,1.73e-06,9.443e-05,1.38418459,75.55233104,
1,90000000,avg,,,,,,,1.832087
1,110000000,1,0.54693163,24.3795022,1.96e-06,8.745e-05,1.69646822,75.62014849,
1,110000000,2,0.54893527,24.44526899,2.3e-06,0.00010256,1.69662539,75.55437939,
1,110000000,3,0.54679223,24.36748562,1.75e-06,7.811e-05,1.69714188,75.63216485,
1,110000000,4,0.54885027,24.41902223,1.88e-06,8.372e-05,1.69877554,75.58060969,
1,110000000,5,0.54712936,24.37978959,1.72e-06,7.686e-05,1.69705442,75.61983098,
1,110000000,avg,0.54772775,24.39822787,1.92e-06,8.574e-05,1.69721309,75.60141254,
1,110000000,avg,,,,,,,2.244949
1,130000000,1,0.64735544,24.36517349,1.39e-06,5.242e-05,2.00952426,75.63450377,
1,130000000,2,0.65071031,24.48159433,1.61e-06,6.069e-05,2.0072405,75.51816329,
1,130000000,3,0.64785899,24.36109265,1.18e-06,4.448e-05,2.01153422,75.63863731,
1,130000000,4,0.65051275,24.46903203,1.37e-06,5.167e-05,2.00799503,75.53071697,
1,130000000,5,0.6487019,24.37073322,1.13e-06,4.244e-05,2.01309849,75.6290157,
1,130000000,avg,0.64902788,24.40951471,1.34e-06,5.034e-05,2.0098785,75.59021785,
1,130000000,avg,,,,,,,2.658913
1,150000000,1,0.75151587,24.4944795,1.18e-06,3.844e-05,2.31657812,75.50522509,
1,150000000,2,0.75293303,24.55902214,1.87e-06,6.106e-05,2.31286927,75.44071707,
1,150000000,3,0.74979211,24.4860409,1.19e-06,3.892e-05,2.31232205,75.51374769,
1,150000000,4,0.7536505,24.54553207,1.97e-06,6.421e-05,2.31676113,75.45425147,
1,150000000,5,0.74956084,24.45939489,1.23e-06,4.027e-05,2.31494367,75.54039458,
1,150000000,avg,0.75149047,24.50891245,1.49e-06,4.859e-05,2.31469485,75.49084862,
1,150000000,avg,,,,,,,3.066193
1,170000000,1,0.84938867,24.448906,1.18e-06,3.407e-05,2.62473566,75.55070841,
1,170000000,2,0.85289956,24.53758237,1.63e-06,4.693e-05,2.62298473,75.46223146,
1,170000000,3,0.8495854,24.37479195,1.83e-06,5.254e-05,2.63590956,75.6248252,
1,170000000,4,0.85266393,24.50644466,2.12e-06,6.102e-05,2.62667556,75.49337712,
1,170000000,5,0.84997073,24.47797169,1.21e-06,3.489e-05,2.62241311,75.52184018,
1,170000000,avg,0.85090166,24.46909482,1.6e-06,4.59e-05,2.62654372,75.53064093,
1,170000000,avg,,,,,,,3.477455
1,190000000,1,0.94935599,24.43650939,1.22e-06,3.152e-05,2.93562421,75.56323379,
1,190000000,2,0.95355407,24.47662048,1.75e-06,4.48e-05,2.94221033,75.52310658,
1,190000000,3,0.95085014,24.44577124,1.2e-06,3.086e-05,2.93877014,75.55397003,
1,190000000,4,0.95298656,24.46695335,1.9e-06,4.889e-05,2.94199964,75.53282568,
1,190000000,5,0.94917036,24.39237847,1.29e-06,3.317e-05,2.942079,75.60740146,
1,190000000,avg,0.95118342,24.44366084,1.47e-06,3.786e-05,2.94013666,75.55609326,
1,190000000,avg,,,,,,,3.89133
1,210000000,1,1.0506033,24.4097827,1.19e-06,2.772e-05,3.25341487,75.590044,
1,210000000,2,1.05362982,24.4324685,1.79e-06,4.157e-05,3.25877754,75.56731769,
1,210000000,3,1.04935553,24.38205376,1.21e-06,2.813e-05,3.25443977,75.61777028,
1,210000000,4,1.05188188,24.41011833,1.93e-06,4.467e-05,3.25731414,75.58968806,
1,210000000,5,1.04933714,24.38854021,1.23e-06,2.863e-05,3.25323922,75.6113093,
1,210000000,avg,1.05096154,24.4046062,1.47e-06,3.415e-05,3.25543711,75.59521235,
1,210000000,avg,,,,,,,4.306406
1,230000000,1,1.15350696,24.4974802,1.23e-06,2.619e-05,3.55516083,75.5023463,
1,230000000,2,1.15845746,24.56610644,1.83e-06,3.885e-05,3.55720971,75.43375203,
1,230000000,3,1.15475778,24.51431332,1.15e-06,2.446e-05,3.55577983,75.48552816,
1,230000000,4,1.15858808,24.52703587,2.06e-06,4.366e-05,3.56512412,75.47283498,
1,230000000,5,1.15459825,24.49688129,1.07e-06,2.273e-05,3.55864155,75.50298946,
1,230000000,avg,1.15598171,24.52037623,1.47e-06,3.119e-05,3.55838321,75.4794774,
1,230000000,avg,,,,,,,4.714372
1,250000000,1,1.25586593,24.53378103,1.15e-06,2.251e-05,3.86305316,75.46609741,
1,250000000,2,1.26019012,24.57336028,1.46e-06,2.855e-05,3.86808157,75.42652546,
1,250000000,3,1.25542014,24.50531528,1.17e-06,2.284e-05,3.86762559,75.49455486,
1,250000000,4,1.25962364,24.58646266,1.56e-06,3.05e-05,3.8636109,75.4134188,
1,250000000,5,1.25726222,24.54036972,1.17e-06,2.274e-05,3.86597327,75.45952761,
1,250000000,avg,1.25767241,24.54786549,1.3e-06,2.543e-05,3.8656689,75.45201713,
1,250000000,avg,,,,,,,5.123347
1,270000000,1,1.34708733,24.33565867,1.8e-06,3.245e-05,4.18835138,75.66420306,
1,270000000,2,1.35127483,24.40676035,2.41e-06,4.362e-05,4.1851957,75.59311109,
1,270000000,3,1.34702512,24.31156942,2.21e-06,3.995e-05,4.19364266,75.68829516,
